iter	Logloss
0	0.681118567
1	0.6689353046
2	0.6577708091
3	0.6474317038
4	0.6407508891
5	0.6319341732
6	0.6230242255
7	0.6163115435
8	0.6082169781
9	0.6010955514
10	0.5962283434
11	0.5908746318
12	0.5840988077
13	0.5796326408
14	0.5749655912
15	0.5700689519
16	0.5664019045
17	0.5613698291
18	0.5575642509
19	0.5526721547
20	0.5495037585
21	0.5461593348
22	0.5420426551
23	0.5395155231
24	0.5368146022
25	0.5341116402
26	0.5311166049
27	0.5273257094
28	0.5247930796
29	0.5215960753
30	0.5187380563
31	0.5161884723
32	0.5133557695
33	0.5108828581
34	0.5082467911
35	0.5057213052
36	0.503525521
37	0.501362065
38	0.4992006501
39	0.4977788339
40	0.4962400829
41	0.4945332055
42	0.4925641798
43	0.4912255873
44	0.4895884031
45	0.4877880306
46	0.4866712585
47	0.4849396575
48	0.4840165584
49	0.4829848206
50	0.4813636031
51	0.4801617307
52	0.4790798874
53	0.4779811888
54	0.4769590639
55	0.475961893
56	0.4750579208
57	0.4740609475
58	0.4726457153
59	0.4717723266
60	0.4707137913
61	0.4697243897
62	0.4687627074
63	0.4679250707
64	0.4667393953
65	0.465756907
66	0.4649584131
67	0.4641607752
68	0.4632565397
69	0.4626046091
70	0.461515655
71	0.4605699393
72	0.4595107785
73	0.4589706799
74	0.4583071942
75	0.457727459
76	0.4573328703
77	0.4561662561
78	0.455643836
79	0.4549362364
80	0.4543144613
81	0.4537999422
82	0.4531334606
83	0.452432544
84	0.4517497667
85	0.4511628876
86	0.4504216101
87	0.4496449426
88	0.4489384623
89	0.4483317979
90	0.4478316322
91	0.4473790371
92	0.446475065
93	0.4460813981
94	0.4456277495
95	0.4452363213
96	0.4447305262
97	0.4439601795
98	0.4435127859
99	0.4428519997
100	0.4423798167
101	0.441879256
102	0.4414437139
103	0.4409639591
104	0.4404192516
105	0.4398269736
106	0.4394499646
107	0.4391337933
108	0.4387147774
109	0.4382932924
110	0.437916876
111	0.4373378651
112	0.4369449225
113	0.4365254457
114	0.4360309095
115	0.4357072322
116	0.4354623673
117	0.4351609116
118	0.4346818152
119	0.4342833748
120	0.433882202
121	0.433624926
122	0.4332971007
123	0.4327946964
124	0.4324630523
125	0.4321061251
126	0.4317383998
127	0.4312713853
128	0.4309492554
129	0.4305168407
130	0.4300695788
131	0.4295967044
132	0.4293100302
133	0.4288416331
134	0.4285139395
135	0.4280957466
136	0.4276465752
137	0.4273309306
138	0.4269960932
139	0.4265623947
140	0.4260315797
141	0.4258160802
142	0.4255988029
143	0.4252590603
144	0.4247375949
145	0.4244823929
146	0.4240599203
147	0.4236965735
148	0.423443643
149	0.423050865
150	0.4227341669
151	0.4224459454
152	0.4220924748
153	0.421706676
154	0.4213099475
155	0.4210882917
156	0.4207708694
157	0.4204825491
158	0.4202478238
159	0.4198938265
160	0.419553195
161	0.4192996061
162	0.4190025947
163	0.4188128063
164	0.4185247164
165	0.4182683951
166	0.4180214233
167	0.417708544
168	0.4174827074
169	0.4171492526
170	0.4168341348
171	0.4165354115
172	0.4163184963
173	0.4160923305
174	0.4158883532
175	0.4155916051
176	0.4153592831
177	0.4150605269
178	0.414804864
179	0.4145724761
180	0.4142109728
181	0.4138969742
182	0.4137180168
183	0.4135494623
184	0.4132824088
185	0.4129835538
186	0.4127193974
187	0.4125586122
188	0.4122828018
189	0.4120293116
190	0.411717815
191	0.4114420705
192	0.4111253066
193	0.4109420036
194	0.4106148367
195	0.4103107473
196	0.4100880381
197	0.4098630245
198	0.4096448584
199	0.4093968002
200	0.4091332692
201	0.4089051939
202	0.4086861389
203	0.4083330634
204	0.4081268804
205	0.4078635799
206	0.4077158314
207	0.4075023729
208	0.4072728491
209	0.4070619585
210	0.4068500144
211	0.4065722617
212	0.4063212077
213	0.4061523898
214	0.4059068995
215	0.4056454096
216	0.4054026516
217	0.4050951714
218	0.4048872107
219	0.4046936694
220	0.4044618411
221	0.4041658502
222	0.4039953205
223	0.4038451029
224	0.4036404343
225	0.4033964254
226	0.4032386031
227	0.4029725372
228	0.4028252166
229	0.4025820307
230	0.4023946456
231	0.4022599337
232	0.4020605653
233	0.4018424321
234	0.4016042172
235	0.4014501808
236	0.4012336608
237	0.4010667194
238	0.4008446028
239	0.4006348973
240	0.4005038396
241	0.4002754681
242	0.4000149987
243	0.3998687975
244	0.3996506972
245	0.3994264407
246	0.3991526055
247	0.3989672944
248	0.398782082
249	0.3985741542
250	0.3984539604
251	0.398310294
252	0.3980876836
253	0.3977813885
254	0.39759746
255	0.3974415801
256	0.3973124647
257	0.39713196
258	0.3969566238
259	0.3966892082
260	0.3964897411
261	0.3963620413
262	0.3961551341
263	0.3958669455
264	0.3956685977
265	0.3954359793
266	0.3951520704
267	0.3949637305
268	0.3948229941
269	0.3946377159
270	0.3945301307
271	0.3943561114
272	0.3941653683
273	0.3939428237
274	0.3936902553
275	0.3936192123
276	0.3934448637
277	0.3932248211
278	0.3930522503
279	0.392853705
280	0.3926560814
281	0.3925239374
282	0.3923746745
283	0.3922215928
284	0.39205317
285	0.3919182276
286	0.3916592397
287	0.3914471969
288	0.391357784
289	0.3912553016
290	0.390994108
291	0.3907593827
292	0.3905982683
293	0.3903857975
294	0.3900673876
295	0.3899074254
296	0.389696041
297	0.3894975286
298	0.3893221924
299	0.3891646993
300	0.3890040458
301	0.3888372362
302	0.3885299534
303	0.3883954391
304	0.3881737834
305	0.387970267
306	0.3878396373
307	0.3876504085
308	0.3874964709
309	0.3873454632
310	0.387136054
311	0.3869750713
312	0.3867355725
313	0.3865594133
314	0.3864640747
315	0.386308491
316	0.3861303237
317	0.3859108737
318	0.3857258588
319	0.3855712298
320	0.3853884865
321	0.3851966899
322	0.3850324151
323	0.3848490463
324	0.3847150587
325	0.3844755269
326	0.3842934749
327	0.3840135165
328	0.3838641219
329	0.3837790217
330	0.3836413798
331	0.3834471471
332	0.3833016043
333	0.3831446708
334	0.3829476069
335	0.3828296847
336	0.3826932609
337	0.3825179247
338	0.3823443004
339	0.3822087655
340	0.3821064148
341	0.3819324942
342	0.3816674159
343	0.381441283
344	0.3813020939
345	0.3811631681
346	0.380986548
347	0.3808067346
348	0.3806623111
349	0.3804785472
350	0.3803049229
351	0.3801625076
352	0.3800208165
353	0.3797794412
354	0.3797057645
355	0.3795791511
356	0.3794302503
357	0.3791827847
358	0.3790593975
359	0.3788635517
360	0.3787081985
361	0.3784583296
362	0.3782842445
363	0.3781879182
364	0.3780090595
365	0.3777653798
366	0.3775646617
367	0.3772937236
368	0.3771388312
369	0.3769710998
370	0.376710367
371	0.3765340762
372	0.376344617
373	0.3761101551
374	0.3759658962
375	0.3758448793
376	0.3755863523
377	0.3754197072
378	0.3751921916
379	0.374991704
380	0.3747342304
381	0.3746104811
382	0.3743473123
383	0.3740630083
384	0.3738474758
385	0.3737343929
386	0.3734855775
387	0.3732991141
388	0.3730416735
389	0.3728682468
390	0.3727272141
391	0.3726079091
392	0.3724538398
393	0.3722704709
394	0.3719629578
395	0.3716992951
396	0.3715200085
397	0.3713734451
398	0.3710951656
399	0.3709154839
400	0.3707726735
401	0.3705591821
402	0.3703644227
403	0.3701911276
404	0.3700973363
405	0.36996404
406	0.3697091013
407	0.3695593117
408	0.3693664617
409	0.3691059923
410	0.3689643341
411	0.3688328814
412	0.3687316499
413	0.3685599022
414	0.3683017373
415	0.3680906491
416	0.3678470023
417	0.3676599793
418	0.3673955924
419	0.3672231861
420	0.3670075549
421	0.3668883816
422	0.3667559413
423	0.3665697083
424	0.3664202808
425	0.3662678905
426	0.3661170474
427	0.3659019429
428	0.3657723008
429	0.3656443706
430	0.3654598495
431	0.3653560503
432	0.3651003874
433	0.3649252487
434	0.3646543106
435	0.3645207509
436	0.364203559
437	0.3639909236
438	0.363811209
439	0.3636526624
440	0.3634269245
441	0.3632952743
442	0.3631352463
443	0.3630489609
444	0.3629226108
445	0.362827766
446	0.3626570717
447	0.3625524494
448	0.3623767511
449	0.3622312083
450	0.3621627989
451	0.3619131605
452	0.3616322473
453	0.3614146409
454	0.3612272557
455	0.3610199534
456	0.3608310539
457	0.3606037687
458	0.3603153496
459	0.3601424167
460	0.3599804793
461	0.3598374055
462	0.3596525552
463	0.3595060577
464	0.3592903936
465	0.3590769351
466	0.358836317
467	0.358683762
468	0.3585599469
469	0.3583478382
470	0.3582072994
471	0.357937283
472	0.3578427345
473	0.3576644354
474	0.3574819884
475	0.3573501735
476	0.3571671339
477	0.3570388745
478	0.3569213143
479	0.3568668304
480	0.3567689898
481	0.3566023447
482	0.3564522588
483	0.3562751778
484	0.3560615219
485	0.3558863832
486	0.3556040874
487	0.3553191908
488	0.3551188349
489	0.3550373888
490	0.3548890806
491	0.3546380595
492	0.3544780316
493	0.3542784657
494	0.3540556577
495	0.3538966503
496	0.3536501723
497	0.3534918562
498	0.3533072034
499	0.3531764091
500	0.3529759873
501	0.3528366007
502	0.3526720625
503	0.3525139769
504	0.3523549365
505	0.3521347293
506	0.3519613025
507	0.3517845178
508	0.3516054616
509	0.3513791641
510	0.3513111168
511	0.3511999104
512	0.3509836207
513	0.350829716
514	0.3506062826
515	0.3504524108
516	0.3502816177
517	0.3502168954
518	0.3500518963
519	0.3498938107
520	0.3496408473
521	0.3494720624
522	0.3492930061
523	0.3491156947
524	0.3489079316
525	0.3486386066
526	0.3484958291
527	0.3483150281
528	0.3482180105
529	0.3480115312
530	0.3478730993
531	0.3478326725
532	0.3476668834
533	0.3475243364
534	0.347409344
535	0.3471692856
536	0.3469742299
537	0.3467662034
538	0.3466593424
539	0.3465317414
540	0.3462636345
541	0.3461160505
542	0.3459613557
543	0.3457780198
544	0.345657826
545	0.3454899299
546	0.3452746279
547	0.3450278207
548	0.3448144939
549	0.3446408367
550	0.3445111947
551	0.344368483
552	0.3441346466
553	0.3439894659
554	0.3438460958
555	0.3436968
556	0.3435730178
557	0.3433323668
558	0.3431709561
559	0.3429903526
560	0.3428417482
561	0.342624833
562	0.3424924256
563	0.3423766761
564	0.34215558
565	0.3419544339
566	0.3418946498
567	0.3417103921
568	0.3415418047
569	0.3413914225
570	0.341221222
571	0.3410745598
572	0.3410662967
573	0.3409365558
574	0.3407106862
575	0.3405821635
576	0.3404131152
577	0.3402269481
578	0.3400972401
579	0.3399241426
580	0.339742321
581	0.3395830831
582	0.339421442
583	0.3392736606
584	0.3391112952
585	0.3389637113
586	0.3387628286
587	0.3385443662
588	0.3384573236
589	0.3383040114
590	0.3381667976
591	0.3379634129
592	0.3378686668
593	0.3377104824
594	0.3375868319
595	0.3374862918
596	0.3373796942
597	0.3372303655
598	0.337088016
599	0.3368604674
600	0.3366630085
601	0.3364644632
602	0.3363214223
603	0.336168176
604	0.3361276834
605	0.335945829
606	0.3358079567
607	0.3356406203
608	0.3355031759
609	0.3353673777
610	0.335219662
611	0.3350182855
612	0.3348945363
613	0.3347636432
614	0.3345599622
615	0.3344230117
616	0.3342943572
617	0.3341441396
618	0.3340248017
619	0.3340178884
620	0.3338821888
621	0.3337364814
622	0.333621917
623	0.33345277
624	0.3332716398
625	0.3332455665
626	0.333144368
627	0.3328926885
628	0.3327575486
629	0.3326151991
630	0.3325232184
631	0.3325098855
632	0.3324110901
633	0.3323005421
634	0.3322474738
635	0.3320770757
636	0.3318431406
637	0.3316627675
638	0.3314568479
639	0.3313411643
640	0.3312067816
641	0.3310484325
642	0.3309498018
643	0.3308264805
644	0.3306964434
645	0.3305226874
646	0.3303210146
647	0.3301473574
648	0.330034472
649	0.3298993651
650	0.3298078123
651	0.3296782032
652	0.3294759378
653	0.3292700511
654	0.329085958
655	0.3289068689
656	0.3287797946
657	0.328612557
658	0.3284581255
659	0.3283179159
660	0.3281897223
661	0.3280724584
662	0.327954174
663	0.3277718915
664	0.3276610801
665	0.3275051343
666	0.327377665
667	0.3272580967
668	0.327122035
669	0.3270174786
670	0.3269202964
671	0.3267931892
672	0.3265548755
673	0.3264985151
674	0.3263029656
675	0.3260640265
676	0.3260239948
677	0.3259165413
678	0.325767443
679	0.3256183447
680	0.3254312888
681	0.3252612199
682	0.325061687
683	0.3249171318
684	0.3248419736
685	0.3246997887
686	0.3245948372
687	0.3244301674
688	0.3243767369
689	0.3242644111
690	0.3240442039
691	0.3240073656
692	0.3238531316
693	0.3237542376
694	0.3236084643
695	0.3235124014
696	0.3233557972
697	0.3232422533
698	0.3230876902
699	0.3230073964
700	0.3228449981
701	0.3226982701
702	0.3225370899
703	0.32232508
704	0.322221577
705	0.3221200492
706	0.3219269358
707	0.3217445217
708	0.3216166903
709	0.3214519217
710	0.3213172427
711	0.3211131996
712	0.321039062
713	0.3209336167
714	0.3208143446
715	0.3206572466
716	0.3205511099
717	0.3204387183
718	0.3203096359
719	0.3201715661
720	0.3200362287
721	0.3198602012
722	0.3196840749
723	0.319477464
724	0.319403063
725	0.3193750145
726	0.3192440556
727	0.3191440751
728	0.3190185481
729	0.3189656773
730	0.3188298461
731	0.3186643203
732	0.318552653
733	0.3183743869
734	0.3182417819
735	0.318126592
736	0.3179961269
737	0.3177972524
738	0.3176473311
739	0.3175163392
740	0.3173530521
741	0.3171924315
742	0.3170474154
743	0.3169409496
744	0.3168262206
745	0.3166749825
746	0.3165638748
747	0.3164877948
748	0.3162989282
749	0.3161606609
750	0.3160042542
751	0.3159383138
752	0.3158324734
753	0.3157493814
754	0.3156582237
755	0.3156033776
756	0.3154049969
757	0.3152762107
758	0.3151115409
759	0.3149937503
760	0.3148423805
761	0.3147507948
762	0.3146002151
763	0.3144540139
764	0.3142440121
765	0.3140307512
766	0.3138103465
767	0.3136528204
768	0.3134711635
769	0.3133392169
770	0.31320783
771	0.3130691676
772	0.3128831981
773	0.3126894592
774	0.3126323416
775	0.3125458916
776	0.3124148668
777	0.3122665916
778	0.3121382663
779	0.3119885425
780	0.311884842
781	0.3117640227
782	0.3116481086
783	0.3114763608
784	0.3113525786
785	0.3112287964
786	0.3110968498
787	0.3109049874
