iter	Passed	Remaining
641	6592	3676
642	6600	3664
643	6608	3653
644	6616	3641
645	6624	3630
646	6631	3618
647	6639	3606
648	6648	3595
649	6655	3583
650	6662	3571
651	6670	3560
652	6677	3548
653	6685	3536
654	6692	3524
655	6699	3513
656	6706	3501
657	6714	3489
658	6721	3478
659	6728	3465
660	6736	3454
661	6744	3443
662	6751	3431
663	6759	3420
664	6766	3408
665	6773	3397
666	6780	3385
667	6788	3373
668	6796	3362
669	6805	3351
670	6813	3340
671	6823	3330
672	6833	3320
673	6843	3310
674	6852	3299
675	6861	3288
676	6870	3277
677	6878	3266
678	6887	3256
679	6896	3245
680	6904	3234
681	6912	3223
682	6923	3213
683	6930	3201
684	6938	3190
685	6945	3179
686	6953	3168
687	6960	3156
688	6968	3145
689	6976	3134
690	6984	3123
691	6992	3112
692	7001	3101
693	7009	3090
694	7016	3079
695	7025	3068
696	7034	3057
697	7042	3046
698	7049	3035
699	7057	3024
700	7065	3013
701	7073	3002
702	7080	2991
703	7089	2981
704	7098	2970
705	7106	2959
706	7113	2948
707	7121	2936
708	7128	2925
709	7135	2914
710	7142	2903
711	7150	2892
712	7157	2880
713	7164	2869
714	7171	2858
715	7178	2847
716	7187	2836
717	7194	2825
718	7203	2815
719	7210	2804
720	7217	2793
721	7225	2781
722	7232	2770
723	7239	2759
724	7246	2748
725	7253	2737
726	7260	2726
727	7267	2715
728	7274	2704
729	7281	2693
730	7288	2682
731	7295	2670
732	7302	2659
733	7309	2648
734	7316	2637
735	7323	2626
736	7330	2616
737	7337	2605
738	7345	2594
739	7352	2583
740	7359	2572
741	7365	2561
742	7372	2550
743	7379	2539
744	7386	2528
745	7393	2517
746	7399	2506
747	7406	2495
748	7413	2484
749	7420	2473
750	7427	2462
751	7433	2451
752	7440	2440
753	7447	2429
754	7453	2418
755	7460	2407
756	7467	2397
757	7474	2386
758	7481	2375
759	7488	2364
760	7495	2353
761	7502	2343
762	7508	2332
763	7515	2321
764	7522	2310
765	7528	2299
766	7535	2289
767	7542	2278
768	7548	2267
769	7556	2257
770	7562	2246
771	7568	2235
772	7575	2224
773	7581	2213
774	7587	2202
775	7593	2192
776	7600	2181
777	7606	2170
778	7612	2159
779	7619	2148
780	7625	2138
781	7631	2127
782	7638	2116
783	7644	2106
784	7651	2095
785	7657	2084
786	7664	2074
787	7670	2063
788	7676	2052
789	7683	2042
790	7688	2031
791	7695	2021
792	7701	2010
793	7708	1999
794	7715	1989
795	7721	1979
796	7728	1968
797	7734	1957
798	7740	1947
799	7746	1936
800	7752	1925
801	7757	1915
802	7763	1904
803	7769	1893
804	7775	1883
805	7781	1872
806	7786	1862
807	7792	1851
808	7798	1841
809	7803	1830
810	7808	1819
811	7814	1809
812	7820	1798
813	7825	1788
814	7831	1777
815	7838	1767
816	7846	1757
817	7853	1747
818	7860	1737
819	7867	1727
820	7874	1716
821	7881	1706
822	7891	1697
823	7902	1687
824	7910	1678
825	7917	1667
826	7926	1658
827	7934	1648
828	7943	1638
829	7953	1629
830	7963	1619
831	7970	1609
832	7978	1599
833	7988	1590
834	7997	1580
835	8005	1570
836	8013	1560
837	8019	1550
838	8030	1541
839	8038	1531
840	8045	1521
841	8053	1511
842	8063	1501
843	8074	1492
844	8084	1482
845	8092	1473
846	8101	1463
847	8112	1454
848	8122	1444
849	8130	1434
850	8140	1425
851	8149	1415
852	8158	1406
853	8167	1396
854	8178	1386
855	8187	1377
856	8198	1367
857	8208	1358
858	8218	1349
859	8227	1339
860	8236	1329
861	8245	1320
862	8257	1310
863	8267	1301
864	8277	1291
865	8286	1282
866	8296	1272
867	8307	1263
868	8320	1254
869	8330	1244
870	8342	1235
871	8353	1226
872	8364	1216
873	8374	1207
874	8386	1198
875	8396	1188
876	8407	1179
877	8418	1169
878	8430	1160
879	8441	1151
880	8451	1141
881	8462	1132
882	8472	1122
883	8482	1113
884	8491	1103
885	8503	1094
886	8514	1084
887	8525	1075
888	8535	1065
889	8546	1056
890	8557	1046
891	8567	1037
892	8575	1027
893	8582	1017
894	8590	1007
895	8599	998
896	8608	988
897	8619	979
898	8629	969
899	8638	959
900	8647	950
901	8655	940
902	8663	930
903	8673	921
904	8688	912
905	8699	902
906	8707	892
907	8715	883
908	8724	873
909	8732	863
910	8739	853
911	8747	844
912	8754	834
913	8762	824
914	8769	814
915	8776	804
916	8783	795
917	8791	785
918	8798	775
919	8806	765
920	8815	756
921	8822	746
922	8832	736
923	8840	727
924	8848	717
925	8856	707
926	8864	698
927	8872	688
928	8879	678
929	8887	668
930	8894	659
931	8901	649
932	8907	639
933	8914	629
934	8921	620
935	8928	610
936	8935	600
937	8943	591
938	8950	581
939	8957	571
940	8964	562
941	8971	552
942	8977	542
943	8984	532
944	8991	523
945	8997	513
946	9004	503
947	9011	494
948	9017	484
949	9026	475
950	9033	465
951	9040	455
952	9046	446
953	9053	436
954	9060	426
955	9066	417
956	9073	407
957	9080	398
958	9086	388
959	9093	378
960	9099	369
961	9106	359
962	9113	350
963	9119	340
964	9125	330
965	9133	321
966	9140	311
967	9147	302
968	9153	292
969	9159	283
970	9165	273
971	9172	264
972	9179	254
973	9186	245
974	9193	235
975	9200	226
976	9207	216
977	9216	207
978	9224	197
979	9232	188
980	9240	178
981	9249	169
982	9258	160
983	9266	150
984	9274	141
985	9282	131
986	9289	122
987	9297	112
988	9304	103
989	9312	94
990	9320	84
991	9327	75
992	9335	65
993	9343	56
994	9349	46
995	9357	37
996	9365	28
997	9372	18
998	9380	9
999	9388	0
